Date,Max_Temp,Min_Temp
2026-07-17,37.1,29.6
2026-07-18,36.8,29.5
2026-07-19,36.1,29.6
2026-07-20,33.5,27.9
2026-07-21,28.6,25.5
2026-07-22,27.7,24.4
2026-07-23,29.1,24.0
2026-07-24,31.6,24.8
2026-07-25,30.3,25.7
2026-07-26,33.6,26.3
2026-07-27,34.7,27.1
2026-07-28,35.0,26.9
2026-07-29,32.2,25.2
2026-07-30,33.6,27.1
2026-07-31,30.6,25.8
2026-08-01,33.3,27.3
2026-08-02,33.6,25.7
2026-08-03,34.4,27.1
2026-08-04,33.3,26.7
2026-08-05,33.8,25.3
2026-08-06,33.7,24.9
2026-08-07,32.4,23.1
2026-08-08,31.2,27.0
2026-08-09,31.8,26.3
2026-08-10,33.8,26.7
2026-08-11,33.2,26.3
2026-08-12,34.3,27.0
2026-08-13,35.4,28.3
2026-08-14,32.2,27.0
2026-08-15,33.2,25.2
2026-08-16,33.9,25.1
